name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Winks,TOT,MID,4.5,Available,856,19,0,1.3,1.2
Sánchez,TOT,DEF,4.5,Available,1486,43,3,2.4,0.5
Sessegnon,TOT,DEF,4.5,Available,0,0,0,0.0,0.2
Bergwijn,TOT,MID,6.0,Available,1202,55,2,2.6,0.2
Reguilón,TOT,DEF,5.0,Available,2244,89,4,3.3,2.5
Tanganga,TOT,DEF,4.5,Available,487,14,0,2.3,0.1
Lo Celso,TOT,MID,6.0,Available,939,35,0,1.9,0.2
Skipp,TOT,MID,4.5,Available,0,0,0,0.0,0.2
Rodon,TOT,DEF,4.5,Available,732,27,3,2.2,0.3
Ndombele,TOT,MID,6.0,Available,2086,99,7,3.0,0.4
Gollini,TOT,GKP,4.5,Available,0,0,0,0.0,0.1
Bryan,TOT,MID,6.0,Available,0,0,0,0.0,0.1
Foster,WAT,GKP,4.0,Available,0,0,0,0.0,25.0
Rose,WAT,DEF,4.5,Available,0,0,0,0.0,1.2
Gosling,WAT,MID,5.0,Available,0,0,0,0.0,0.1
Cathcart,WAT,DEF,4.5,Available,0,0,0,0.0,0.3
Deeney,WAT,FWD,5.5,Available,0,0,0,0.0,3.4
Cleverley,WAT,MID,5.0,Available,0,0,0,0.0,0.1
Femenía,WAT,DEF,4.5,Available,0,0,0,0.0,0.4
Gray,WAT,FWD,5.5,Available,0,0,0,0.0,0.3
Kabasele,WAT,DEF,4.5,Available,0,0,0,0.0,0.2
Chalobah,WAT,MID,5.0,Available,0,0,0,0.0,0.1
Hughes,WAT,MID,5.0,Available,0,0,0,0.0,0.2
Troost-Ekong,WAT,DEF,4.5,Available,0,0,0,0.0,0.2
Perica,WAT,FWD,4.5,Available,0,0,0,0.0,5.1
Bachmann,WAT,GKP,4.5,Available,0,0,0,0.0,2.8
Masina,WAT,DEF,4.5,Available,0,0,0,0.0,0.2
Sema,WAT,MID,5.5,Available,0,0,0,0.0,0.1
Zinckernagel,WAT,MID,5.5,Available,0,0,0,0.0,0.1
Success,WAT,FWD,5.0,Available,0,0,0,0.0,0.9
Dele-Bashiru,WAT,MID,4.5,Available,0,0,0,0.0,0.1
Fletcher,WAT,FWD,5.0,Available,0,0,0,0.0,0.5
Sierralta,WAT,DEF,4.5,Available,0,0,0,0.0,0.6
Quina,WAT,MID,4.5,Available,0,0,0,0.0,0.2
Navarro,WAT,DEF,4.0,Available,0,0,0,0.0,1.3
Sarr,WAT,MID,6.0,Available,0,0,0,0.0,6.3
Ngakia,WAT,DEF,4.5,Available,0,0,0,0.0,0.1
Wilmot,WAT,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Hungbo,WAT,MID,4.5,Available,0,0,0,0.0,0.1
Louza,WAT,MID,5.5,Available,0,0,0,0.0,0.1
João Pedro,WAT,FWD,5.5,Available,0,0,0,0.0,1.2
Baah,WAT,MID,4.5,Available,0,0,0,0.0,0.2
Dennis,WAT,FWD,5.0,Available,0,0,0,0.0,0.6
Pollock,WAT,DEF,4.0,Available,0,0,0,0.0,0.9
Etebo,WAT,MID,4.5,Available,0,0,0,0.0,0.2
King,WAT,FWD,5.5,Available,138,11,0,1.0,1.0
Mebude,WAT,FWD,4.5,Available,0,0,0,0.0,0.9
Cucho,WAT,FWD,5.0,Available,0,0,0,0.0,0.3
Noble,WHU,MID,4.5,Available,701,27,0,1.3,0.6
Randolph,WHU,GKP,4.5,Available,270,10,0,3.3,0.3
Fabianski,WHU,GKP,5.0,Available,3150,133,11,3.8,2.9
Ogbonna,WHU,DEF,5.0,Available,2492,100,5,3.6,0.5
Reid,WHU,DEF,4.0,Available,0,0,0,0.0,1.9
Cresswell,WHU,DEF,5.5,Available,3170,153,21,4.2,19.3
Yarmolenko,WHU,MID,5.5,Available,362,17,0,1.1,0.5
Antonio,WHU,FWD,7.5,Available,1972,118,19,4.5,12.6
Dawson,WHU,DEF,5.0,Available,1925,75,3,3.4,0.4
Fredericks,WHU,DEF,4.5,Available,564,28,0,2.0,0.2
Lanzini,WHU,MID,6.0,Available,556,28,0,1.6,0.2
Masuaku,WHU,DEF,4.5,Available,1006,42,4,3.5,0.4
Coufal,WHU,DEF,5.0,Available,3054,128,12,3.8,15.7
Benrahma,WHU,MID,6.0,Available,1376,73,4,2.4,0.7
Bowen,WHU,MID,6.5,Available,2556,141,8,3.7,2.0
Rice,WHU,MID,5.0,Available,2880,86,2,2.7,4.1
Soucek,WHU,MID,6.0,Available,3420,147,16,3.9,11.3
Fornals,WHU,MID,6.0,Available,2571,125,10,3.8,0.5
Diop,WHU,DEF,4.5,Available,1379,42,1,2.3,0.4
Johnson,WHU,DEF,4.0,Available,516,25,0,1.8,3.1
Moutinho,WOL,MID,5.0,Available,2526,73,4,2.2,0.4
Patrício,WOL,GKP,5.0,NotAvail,3330,132,12,3.6,0.5
Boly,WOL,DEF,5.0,Available,1879,68,4,3.2,0.4
Coady,WOL,DEF,4.5,Available,3303,106,7,2.9,8.0
Jiménez,WOL,FWD,7.5,Available,824,43,7,4.3,3.1
Saïss,WOL,DEF,5.0,Available,2407,99,11,3.7,0.7
Marçal,WOL,DEF,4.5,Available,618,19,0,1.5,0.1
Jonny,WOL,DEF,4.5,Injured,496,16,1,2.3,0.0
Dendoncker,WOL,MID,5.0,Available,2498,77,2,2.3,0.2
Traoré,WOL,MID,6.0,Available,2640,94,5,2.5,0.8
Neves,WOL,MID,5.5,Available,2670,104,10,2.9,1.2
Semedo,WOL,DEF,5.0,Available,2983,109,11,3.2,1.7
Podence,WOL,MID,5.5,Injured,1661,75,5,3.1,0.0
Kilman,WOL,DEF,4.5,Available,1307,58,8,3.2,0.3
Gibbs-White,WOL,MID,4.5,Available,407,22,3,2.0,0.5
Neto,WOL,MID,6.5,Injured,2549,124,10,4.0,0.1
Otasowie,WOL,MID,4.5,Available,185,9,0,1.5,0.3
Hoever,WOL,DEF,4.0,Available,573,13,0,1.1,2.4
Söndergaard,WOL,GKP,4.0,Available,0,0,0,0.0,1.2
Fabio Silva,WOL,FWD,6.0,Available,1352,72,5,2.2,0.9
Mosquera,WOL,DEF,4.5,Available,0,0,0,0.0,0.2
Ruddy,WOL,GKP,4.5,Available,91,4,0,2.0,0.2
Trincão,WOL,MID,6.0,Available,0,0,0,0.0,0.6
Ait Nouri,WOL,DEF,4.5,Available,1400,54,6,2.6,1.8
Sá,WOL,GKP,5.0,Available,0,0,0,0.0,0.4
